"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
06/17/2008,17:00,203.09,204.72,201.49,203.50,272505,3.514033,3.529371,-0.015339,57.68,71.48,77.09,202.5790,192.4880,0.9210,11.0120,84,0,1
06/18/2008,17:00,202.99,206.37,201.31,206.17,214033,3.567871,3.537071,0.030799,60.86,73.80,74.30,204.0170,193.0688,2.1530,13.1012,85,0,1
06/19/2008,17:00,205.55,207.36,201.09,201.60,350297,3.204834,3.470624,-0.265790,53.45,69.24,71.51,204.4490,193.5108,2.8490,8.0892,86,0,1
06/20/2008,17:00,201.41,206.50,200.75,204.36,270234,3.104051,3.397309,-0.293258,56.87,70.81,71.28,204.0820,194.0232,0.2780,10.3368,87,0,1
06/23/2008,17:00,203.80,207.14,203.05,205.74,243388,3.099803,3.337808,-0.238005,58.51,70.02,70.02,204.2720,194.5626,1.4680,11.1774,88,0,1
06/24/2008,17:00,206.25,207.75,204.90,206.00,217377,3.081889,3.286624,-0.204735,58.82,78.05,72.96,204.7920,195.0748,1.2080,10.9252,89,0,1
06/25/2008,17:00,206.07,206.58,200.95,203.84,213049,2.860426,3.201384,-0.340959,55.05,74.18,74.08,204.5890,195.5032,0.7490,8.3368,90,0,1
06/26/2008,17:00,203.52,209.39,202.68,208.64,283506,3.037223,3.168552,-0.131329,61.03,75.49,75.91,204.8300,196.0048,3.8100,12.6352,91,0,1
06/27/2008,17:00,208.44,211.99,207.61,209.21,267118,3.186597,3.172161,0.014436,61.68,72.41,74.03,205.3160,196.5192,3.8940,12.6908,92,0,1
06/30/2008,17:00,209.60,212.67,208.17,209.00,246267,3.250561,3.187841,0.062720,61.28,78.00,75.30,205.8060,196.9928,3.1940,12.0072,93,0,1
07/01/2008,17:00,209.18,212.33,208.95,209.97,227875,3.341011,3.218475,0.122536,62.51,74.25,74.89,206.4530,197.4764,3.5170,12.4936,94,0,1
07/02/2008,17:00,210.44,213.32,209.01,212.57,247071,3.581210,3.291022,0.290188,65.66,80.44,77.56,207.0930,197.9832,5.4770,14.5868,95,0,1
07/03/2008,17:00,213.19,214.85,212.22,214.29,186345,3.865796,3.405977,0.459819,67.59,89.61,81.44,208.3620,198.5198,5.9280,15.7702,96,0,1
07/04/2008,17:00,214.30,214.68,212.70,213.18,13274,3.956161,3.516014,0.440147,65.04,92.69,87.58,209.2440,199.0790,3.9360,14.1010,97,0,1
07/07/2008,17:00,213.27,213.53,208.52,210.37,282169,3.757716,3.564354,0.193361,58.97,84.14,88.81,209.7070,199.5328,0.6630,10.8372,98,0,1
07/08/2008,17:00,210.59,211.44,204.14,205.04,353146,3.134230,3.478329,-0.344099,49.53,62.27,79.70,209.6110,199.8754,4.5710,5.1646,99,0,1
07/09/2008,17:00,205.00,207.28,204.34,205.05,287386,2.610825,3.304828,-0.694004,49.55,43.05,63.15,209.7320,200.2806,4.6820,4.7694,100,0,1
07/10/2008,17:00,204.80,211.13,204.43,210.65,282706,2.617720,3.167407,-0.549687,57.78,43.44,49.59,209.9330,200.8412,0.7170,9.8088,101,0,1
07/11/2008,17:00,210.80,216.27,210.44,214.08,320398,2.866908,3.107307,-0.240399,61.88,62.63,49.71,210.4200,201.4892,3.6600,12.5908,102,0,1
07/14/2008,17:00,213.69,215.37,211.49,214.18,232788,3.037448,3.093335,-0.055887,62.00,80.96,62.34,210.9380,202.0632,3.2420,12.1168,103,0,1
07/15/2008,17:00,214.19,215.73,204.92,207.74,368713,2.622714,2.999211,-0.376497,51.20,71.04,71.54,210.7150,202.4354,2.9750,5.3046,104,0,1
07/16/2008,17:00,207.77,208.30,201.10,203.60,267213,1.937635,2.786896,-0.849260,45.69,47.16,66.39,209.8180,202.6874,6.2180,0.9126,105,0,1
07/17/2008,17:00,204.11,205.75,198.00,198.29,352025,0.955222,2.420561,-1.465339,39.77,16.69,44.96,208.2180,202.7994,9.9280,4.5094,106,0,1
07/18/2008,17:00,198.56,201.04,197.23,197.88,197824,0.141932,1.964835,-1.822903,39.35,6.55,23.47,206.6880,202.9000,8.8080,5.0200,107,0,1
07/21/2008,17:00,197.91,201.16,197.53,200.23,237117,-0.309413,1.509986,-1.819399,43.09,6.99,10.08,205.6740,203.0022,5.4440,2.7722,108,0,1
07/22/2008,17:00,200.39,201.31,194.78,196.83,287754,-0.930731,1.021842,-1.952573,39.31,9.57,7.71,204.8530,203.0710,8.0230,6.2410,109,0,1
07/23/2008,17:00,196.91,197.11,192.53,192.85,285081,-1.724404,0.472593,-2.196997,35.40,8.36,8.31,203.6330,203.0288,10.7830,10.1788,110,0,1
07/24/2008,17:00,192.87,194.85,191.93,193.90,260854,-2.242816,-0.070489,-2.172327,37.18,6.24,8.05,201.9580,203.0392,8.0580,9.1392,0,1,1
07/25/2008,17:00,194.01,194.92,190.91,191.67,210428,-2.801312,-0.616653,-2.184658,34.98,4.15,6.25,199.7170,203.0070,8.0470,11.3370,0,2,1
07/28/2008,17:00,191.82,193.63,191.04,193.14,190570,-3.089691,-1.111261,-1.978430,37.60,6.61,5.67,197.6130,202.9608,4.4730,9.8208,0,3,1
07/29/2008,17:00,193.35,194.26,188.83,190.60,255519,-3.483040,-1.585617,-1.897423,34.98,6.09,5.62,195.8990,202.8486,5.2990,12.2486,0,4,1
07/30/2008,17:00,190.31,195.80,189.21,195.18,301056,-3.386171,-1.945728,-1.440443,42.73,12.90,8.53,195.0570,202.7828,0.1230,7.6028,0,5,1
07/31/2008,17:00,195.31,196.30,191.12,192.49,271749,-3.486274,-2.253837,-1.232437,39.74,14.40,11.13,194.4770,202.5794,1.9870,10.0894,0,6,1
