,val,start,end
0,91.00178571428572,1997-06-30 13:00:00,1997-07-13 13:00:00
0,91.00178571428572,1997-07-22 16:00:00,1997-08-24 16:00:00
0,91.00178571428572,1997-09-22 15:00:00,1997-11-19 15:00:00
0,91.755,1997-09-29 13:00:00,1997-10-27 13:00:00
0,92.8325,1997-10-06 16:00:00,1997-10-12 16:00:00
0,80.88526315789474,1998-06-16 13:00:00,1998-08-10 13:00:00
0,81.64375,1998-06-29 11:00:00,1998-07-06 11:00:00
0,83.19749999999999,1998-03-17 14:00:00,1998-06-09 14:00:00
0,84.24857142857142,1998-03-09 15:00:00,1998-03-15 15:00:00
0,84.24857142857142,1998-03-20 11:00:00,1998-05-18 11:00:00
0,85.01260869565218,1998-02-26 15:00:00,1998-03-08 15:00:00
0,85.01260869565218,1998-04-01 15:00:00,1998-04-22 15:00:00
0,85.01260869565218,1998-05-04 13:00:00,1998-05-08 13:00:00
0,85.75333333333333,1998-01-23 15:00:00,1998-02-26 15:00:00
0,86.51777777777778,1998-01-15 15:00:00,1998-01-23 15:00:00
0,86.51777777777778,1998-02-04 15:00:00,1998-02-16 15:00:00
0,76.89777777777778,1998-11-30 14:00:00,1999-03-09 14:00:00
0,77.56,1999-01-05 15:00:00,1999-02-07 15:00:00
0,77.56,1999-02-22 10:00:00,1999-03-09 10:00:00
0,78.50777777777778,1998-11-18 13:00:00,1998-11-25 13:00:00
0,78.50777777777778,1999-01-07 13:00:00,1999-01-13 13:00:00
0,79.61857142857141,1998-08-12 15:00:00,1998-11-17 15:00:00
0,80.1905,1998-08-14 10:00:00,1998-08-27 10:00:00
0,80.1905,1998-08-31 12:00:00,1998-10-19 12:00:00
0,80.1905,1998-10-23 15:00:00,1998-11-09 15:00:00
0,80.97375,1998-09-04 11:00:00,1998-10-09 11:00:00
0,81.98818181818181,1998-09-21 14:00:00,1998-10-07 14:00:00
0,80.01166666666666,1999-03-15 10:00:00,1999-10-04 10:00:00
0,81.8,1999-03-30 11:00:00,1999-04-07 11:00:00
0,82.73375,1999-04-19 15:00:00,1999-05-31 15:00:00
0,83.47999999999999,1999-04-29 11:00:00,1999-05-18 11:00:00
0,83.47999999999999,1999-06-08 10:00:00,1999-10-04 10:00:00
0,84.07142857142857,1999-05-03 15:00:00,1999-05-04 15:00:00
0,85.51555555555555,1999-07-06 12:00:00,1999-10-03 12:00:00
0,86.146,1999-07-28 15:00:00,1999-08-03 15:00:00
0,86.146,1999-08-04 14:00:00,1999-10-03 14:00:00
0,87.17999999999999,1999-08-10 12:00:00,1999-08-24 12:00:00
0,89.576,1999-09-15 10:00:00,1999-10-04 10:00:00
0,90.286,1999-09-23 13:00:00,1999-09-28 13:00:00
0,88.51888888888888,1999-10-21 15:00:00,1999-10-27 15:00:00
0,90.11500000000001,1999-11-11 10:00:00,2000-05-03 10:00:00
0,91.18555555555557,1999-11-16 14:00:00,1999-11-30 14:00:00
0,91.18555555555557,1999-12-08 11:00:00,2000-01-07 11:00:00
0,92.09545454545453,1999-12-15 13:00:00,2000-01-03 13:00:00
0,92.98333333333332,2000-04-13 16:00:00,2000-05-03 16:00:00
0,94.71545454545453,2000-02-02 15:00:00,2000-02-21 15:00:00
0,95.54125,2000-02-28 11:00:00,2000-03-28 11:00:00
0,96.4825,2000-02-28 16:00:00,2000-03-19 16:00:00
0,97.36571428571428,2000-03-02 12:00:00,2000-03-09 12:00:00
0,97.36571428571428,2000-03-10 12:00:00,2000-03-15 12:00:00
0,98.27166666666665,2000-05-12 14:00:00,2000-05-22 14:00:00
0,98.27166666666665,2000-05-31 15:00:00,2000-11-30 15:00:00
0,99.02545454545454,2000-06-16 14:00:00,2000-07-26 14:00:00
0,100.995,2000-06-13 14:00:00,2000-06-15 14:00:00
0,104.61142857142856,2000-08-17 15:00:00,2000-11-30 15:00:00
0,105.58666666666666,2000-08-30 12:00:00,2000-09-28 12:00:00
0,106.44571428571429,2000-09-01 11:00:00,2000-09-24 11:00:00
0,106.44571428571429,2000-10-17 12:00:00,2000-11-30 12:00:00
0,107.33833333333335,2000-10-23 12:00:00,2000-10-30 12:00:00
0,101.912,2000-12-20 16:00:00,2001-06-21 16:00:00
0,103.06181818181818,2001-01-02 12:00:00,2001-06-20 12:00:00
0,103.9375,2001-04-06 12:00:00,2001-06-19 12:00:00
0,104.72473684210526,2001-01-17 14:00:00,2001-03-14 14:00:00
0,104.72473684210526,2001-04-09 15:00:00,2001-04-23 15:00:00
0,104.72473684210526,2001-04-27 14:00:00,2001-05-08 14:00:00
0,104.72473684210526,2001-05-14 13:00:00,2001-05-30 13:00:00
0,105.58,2001-01-24 11:00:00,2001-03-01 11:00:00
0,105.58,2001-03-02 16:00:00,2001-03-12 16:00:00
0,106.178,2001-01-23 12:00:00,2001-01-30 12:00:00
0,107.34400000000001,2001-02-05 15:00:00,2001-02-14 15:00:00
0,98.49571428571429,2001-09-25 19:00:00,2001-10-21 19:00:00
0,99.2575,2001-09-27 09:00:00,2001-10-16 09:00:00
0,101.50714285714287,2001-07-03 08:00:00,2001-09-23 08:00:00
0,103.14882352941176,2001-07-06 03:00:00,2001-07-16 03:00:00
0,103.14882352941176,2001-07-25 22:00:00,2001-09-22 22:00:00
0,103.98863636363635,2001-08-03 00:00:00,2001-08-19 00:00:00
0,103.98863636363635,2001-08-24 08:00:00,2001-09-20 08:00:00
0,104.64428571428572,2001-09-10 20:00:00,2001-09-18 20:00:00
0,94.35374999999999,2001-11-15 23:00:00,2002-01-27 23:00:00
0,95.14181818181818,2001-11-25 21:00:00,2001-12-09 21:00:00
0,95.14181818181818,2001-12-17 07:00:00,2002-01-15 07:00:00
0,95.14181818181818,2002-01-24 03:00:00,2002-01-28 03:00:00
0,95.8452380952381,2001-11-06 08:00:00,2001-11-14 08:00:00
0,95.8452380952381,2001-12-04 17:00:00,2001-12-05 17:00:00
0,95.8452380952381,2001-12-26 08:00:00,2002-01-13 08:00:00
0,96.82647058823531,2001-11-01 17:00:00,2001-11-05 17:00:00
0,96.82647058823531,2002-01-03 05:00:00,2002-01-09 05:00:00
0,97.84375,2001-10-24 08:00:00,2001-11-01 08:00:00
0,98.72571428571429,2001-10-25 03:00:00,2001-10-30 03:00:00
0,94.82900000000001,2002-01-30 06:00:00,2002-04-30 06:00:00
